c,p,x
http://purl.obolibrary.org/obo/WBPhenotype_0002049,http://purl.obolibrary.org/obo/IAO_0000115,Animals are not affected to the same degree as control animals under similar conditions of abamectin exposure. 
http://purl.obolibrary.org/obo/WBPhenotype_0001997,http://purl.obolibrary.org/obo/IAO_0000115,The nucleus or nuclei are not positioned in a similar manner or pattern in the cell or syncytium to that observed in controls. 
http://purl.obolibrary.org/obo/WBPhenotype_0002128,http://purl.obolibrary.org/obo/IAO_0000115,"Males remain on food in the absence of mates, a defect in male mate-searching behavior observed in control males. "
http://purl.obolibrary.org/obo/WBPhenotype_0000683,http://purl.obolibrary.org/obo/IAO_0000115," The germ line is sexually transformed from hermaphrodite to male. In C. elegans, XX mog animals are somatically hermaphrodite, but germ cells that normally would become oocytes are transformed into sperm."
http://purl.obolibrary.org/obo/WBPhenotype_0001668,http://purl.obolibrary.org/obo/IAO_0000115,"An increased number of oocytes are retained in the gonad without becoming endomitotic, compared to control. "
http://purl.obolibrary.org/obo/WBPhenotype_0001719,http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym,ER unfolded protein response abnormal 
http://purl.obolibrary.org/obo/WBPhenotype_0001844,http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym,fat granule regulated hydrolysis variant 
http://purl.obolibrary.org/obo/WBPhenotype_0001960,http://purl.obolibrary.org/obo/IAO_0000115,The spindle in the early embryo is aberrant in the characteristic posterior aster oscillations that occur along the transverse longitudinal axis of the spindle. 
http://purl.obolibrary.org/obo/WBPhenotype_0002078,http://purl.obolibrary.org/obo/IAO_0000115,The pattern or state of methyl modifications of histone varies from that of controls. 
http://purl.obolibrary.org/obo/WBPhenotype_0002254,http://purl.obolibrary.org/obo/IAO_0000115,3' uridylation of mRNA targeted for silencing does not occur at the same rate or extent of targeted mRNA in control animals. 
http://purl.obolibrary.org/obo/WBPhenotype_0001933,http://purl.obolibrary.org/obo/IAO_0000115,The pattern of localization of presynaptic markers is disrupted compared to control animals. 
http://purl.obolibrary.org/obo/WBPhenotype_0002236,http://purl.obolibrary.org/obo/IAO_0000115,The degradation of endocytosed and intracellular material does not occur to the same extent as it does in control animals. 
http://purl.obolibrary.org/obo/WBPhenotype_0002361,http://purl.obolibrary.org/obo/IAO_0000115,"Animals exhibit increased fluidity of cell membranes, compared to control animals. "
http://purl.obolibrary.org/obo/WBPhenotype_0000295,http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym,intrinsic thermotolerance increased 
http://purl.obolibrary.org/obo/WBPhenotype_0000151,http://www.geneontology.org/formats/oboInOwl#hasBroadSynonym,Apx 
http://purl.obolibrary.org/obo/WBPhenotype_0002051,http://purl.obolibrary.org/obo/IAO_0000115,The production or regulation of ascaroside molecule populations differs from that of control animals. 
http://purl.obolibrary.org/obo/WBPhenotype_0001020,http://purl.obolibrary.org/obo/IAO_0000115," Animals die during the final stages of embryogenesis. In C. elegans, this lethality refers to death during the last (3-fold) stage of embryogenesis, which normally occurs 620-800 min after the first cleavage at 20C, the stage after elongation."
http://purl.obolibrary.org/obo/WBPhenotype_0002042,http://purl.obolibrary.org/obo/IAO_0000115,Molting cycles do not occur in a temporally controlled manner and cannot be synchronized across a population. 
http://purl.obolibrary.org/obo/WBPhenotype_0001011,http://purl.obolibrary.org/obo/IAO_0000115, Population of unhatched eggs exhibit a complex combination of defects that do not match other class definitions.
http://purl.obolibrary.org/obo/WBPhenotype_0002121,http://purl.obolibrary.org/obo/IAO_0000115,The presence of a mixture of more than one type of an organellar genome (mitochondrial DNA (mtDNA) or plastid DNA) within a cell or individual. 
http://purl.obolibrary.org/obo/WBPhenotype_0001819,http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym,bacterial load variant 
http://purl.obolibrary.org/obo/WBPhenotype_0002112,http://purl.obolibrary.org/obo/IAO_0000115,Animals are unable to maintain paired chromosome throughout pachytene. 
http://purl.obolibrary.org/obo/WBPhenotype_0002372,http://purl.obolibrary.org/obo/IAO_0000115,"Vesicles in the presynaptic terminal differ in size, shape, or composition from those observed in control animals. "
http://purl.obolibrary.org/obo/WBPhenotype_0001518,http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym,Formaldehyde induced fluorescence abnormal 
http://purl.obolibrary.org/obo/WBPhenotype_0001680,http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym,F fate abnormal 
http://purl.obolibrary.org/obo/WBPhenotype_0001012,http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym,bacterial load variant 
http://purl.obolibrary.org/obo/WBPhenotype_0000640,http://purl.obolibrary.org/obo/IAO_0000115," Animals exhibit variations in the stage of eggs laid, egg laying cycle, number of eggs or egg laying in response to stimuli compared to control."
http://purl.obolibrary.org/obo/WBPhenotype_0002025,http://purl.obolibrary.org/obo/IAO_0000115,"The diameter, volume, or area taken up by a cell differs from that measured in control animals. "
http://purl.obolibrary.org/obo/WBPhenotype_0002113,http://purl.obolibrary.org/obo/IAO_0000115,Animals differ from controls in respect to the formation of paired chromosome loci. 
http://purl.obolibrary.org/obo/WBPhenotype_0002132,http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym,protein clustering variant 
http://purl.obolibrary.org/obo/WBPhenotype_0000330,http://purl.obolibrary.org/obo/IAO_0000115, Defects in rhythmic pharyngeal relaxations compared to control animals. In C. elegans pharyngeal relaxation follows a contraction event and facilitates bacterial trapping within the pharynx while expelling liquid.
http://purl.obolibrary.org/obo/WBPhenotype_0001983,http://purl.obolibrary.org/obo/IAO_0000115,"Variation of the time an individual spent on a patch of food (bacterial lawn) before leaving, compared to control animals. "
http://purl.obolibrary.org/obo/WBPhenotype_0000270,http://purl.obolibrary.org/obo/IAO_0000115," Seemingly unrelated variations that concurrently occur during early embryonic development compared to control animals. In C. elegans, this can include multiple pronuclei, aberrant cytoplasmic texture, decrease in overall pace of development and osmotic sensitivity."
http://purl.obolibrary.org/obo/WBPhenotype_0002114,http://purl.obolibrary.org/obo/IAO_0000115,"Animals become paralyzed after a measured amount of time swimming. In C. elegans, more then 80 percent of wild-type animals continue swimming vigorously in liquid even after 30 minutes. "
http://purl.obolibrary.org/obo/WBPhenotype_0002008,http://purl.obolibrary.org/obo/IAO_0000115,"Animals exhibit variations in the non-enzymatic glycosylation process of attaching a protein or lipid to a sugar molecule, compared to control animals. "
http://purl.obolibrary.org/obo/WBPhenotype_0002356,http://purl.obolibrary.org/obo/IAO_0000115,Animals are negatively affected by bacteria that is nonpathogenic to control animals. 
http://purl.obolibrary.org/obo/WBPhenotype_0000689,http://purl.obolibrary.org/obo/IAO_0000115, Animals produce no or very few embryos as a result of experimental treatment. This is in contrast to sterility due to genetic perturbations (maternal effect sterility).
http://purl.obolibrary.org/obo/WBPhenotype_0000331,http://purl.obolibrary.org/obo/IAO_0000115," Animals fail to respond to the concentration of sodium potassium ATPase antagonists that elicits a response in control animals. Alternatively, animals require increased concentration or longer exposure to this compound to elicit the response compared to control animals."
http://purl.obolibrary.org/obo/WBPhenotype_0002027,http://purl.obolibrary.org/obo/IAO_0000115,VPCs differentiate in the absence of inductive signals coming from the gonad. 
http://purl.obolibrary.org/obo/WBPhenotype_0001033,http://purl.obolibrary.org/obo/IAO_0000115," Any variation in the spatial pattern of proliferation and differentiation in the germ line compared to control. In C. elegans, this refers to an ectopic mass of proliferating germ cells that occupies the proximal adult germ line, a region normally occupied by gametes."
http://purl.obolibrary.org/obo/WBPhenotype_0001432,http://purl.obolibrary.org/obo/IAO_0000115," Adult males exhibit a truncated tail, often without a fan or have well-developed fans but squarish, truncated back ends compared to control. In C. elegans this is due to precocious male tail tip retraction beginning in the early L3 stage (normally retraction begins in the L4 stage). Condition can be lethal if the function of the anus is affected."
http://purl.obolibrary.org/obo/WBPhenotype_0002143,http://www.geneontology.org/formats/oboInOwl#hasExactSynonym,Succinate dehydrogenase complex variant 
http://purl.obolibrary.org/obo/WBPhenotype_0002394,http://purl.obolibrary.org/obo/IAO_0000115,"The closure of a phagosome does not occur and it remains connected with the plasma membrane, leaving the lumen open to the outside.  Complete closure usually occurs once an apoptotic cell has been surrounded by an engulfing cell. "
http://purl.obolibrary.org/obo/WBPhenotype_0002162,http://purl.obolibrary.org/obo/IAO_0000115,Cells exhibit mitotic spindles with more than two poles. 
http://purl.obolibrary.org/obo/WBPhenotype_0002385,http://purl.obolibrary.org/obo/IAO_0000115,"Animals fail to avoid a high pH (alkaline) environment as compared to control animals.  This is at very high pH, for example around pH11.  "
http://purl.obolibrary.org/obo/WBPhenotype_0000420,http://purl.obolibrary.org/obo/IAO_0000115, Animals respond to levamisole at a lower concentration or a shorter exposure compared to control animals. Levamisole is a cholinergic agonist.
http://purl.obolibrary.org/obo/WBPhenotype_0001034,http://purl.obolibrary.org/obo/IAO_0000115," The morphology of pronuclei and nuclei are defective in the early embryo. In C. elegans, this defect is often characterized by pronuclei and nuclei that are small or missing altogether and are often accompanied by spindle defects."
http://purl.obolibrary.org/obo/WBPhenotype_0001790,http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym,ThRC absent 
http://purl.obolibrary.org/obo/WBPhenotype_0001939,http://purl.obolibrary.org/obo/IAO_0000115,"Animals are not repelled by bitter tastants such as quinine, primaquine quinacrine etc., to the same extent as control animals. "
http://purl.obolibrary.org/obo/WBPhenotype_0002019,http://purl.obolibrary.org/obo/IAO_0000115,Adult animals display a smaller number of eggs inside the uterus compared to controls 
http://purl.obolibrary.org/obo/WBPhenotype_0000982,http://purl.obolibrary.org/obo/IAO_0000115, Animals exhibit variations in the ability of a relatively unspecialized spermatocyte to acquire the properties of a spermatid cell compared to control.
http://purl.obolibrary.org/obo/WBPhenotype_0002084,http://purl.obolibrary.org/obo/IAO_0000115,Animals differ from controls in respect to the frequency of expected double crossover events observed. 
http://purl.obolibrary.org/obo/WBPhenotype_0001461,http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym, sodium chemotaxis abnormal
http://purl.obolibrary.org/obo/WBPhenotype_0001090,http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym,intrinsic thermotolerance reduced 
http://purl.obolibrary.org/obo/WBPhenotype_0002135,http://purl.obolibrary.org/obo/IAO_0000115,Predator-prey interactions differ from that observed in control interactions. 
http://purl.obolibrary.org/obo/WBPhenotype_0000208,http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym,Dec-l 
http://purl.obolibrary.org/obo/WBPhenotype_0002154,http://purl.obolibrary.org/obo/IAO_0000115,The extent of mRNA ribosome associations varies from controls. 
http://purl.obolibrary.org/obo/WBPhenotype_0002117,http://purl.obolibrary.org/obo/IAO_0000115,Animals exhibit constrictions in the anterior portion of the head that result in decapitation. 
http://purl.obolibrary.org/obo/WBPhenotype_0001977,http://purl.obolibrary.org/obo/IAO_0000115,"Any variation in the form or composition of the compartment partitions in the germline of females/hermaphrodites that exist when nuclei are still connected to a common cytoplasm (rachis), compared to control animals. "
http://purl.obolibrary.org/obo/WBPhenotype_0001930,http://purl.obolibrary.org/obo/IAO_0000115,Animals extend altered or fewer numbers of dorsal and or ventral muscle arms compared to control animals. 
http://purl.obolibrary.org/obo/WBPhenotype_0001968,http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym,symmetrical sisters 
http://purl.obolibrary.org/obo/WBPhenotype_0002085,http://purl.obolibrary.org/obo/IAO_0000115,The number of crossover events differs from that of observed in control animals. 
http://purl.obolibrary.org/obo/WBPhenotype_0000195,http://purl.obolibrary.org/obo/IAO_0000115," Variations in the migration pattern of distal tip cells compared to control animals. In C. elegans, DTCs located on the anterior and posterior ends of the gonad primordium typically migrate in a symmetrical U-shaped pattern."
http://purl.obolibrary.org/obo/WBPhenotype_0001959,http://purl.obolibrary.org/obo/IAO_0000115,Pulling forces on the astral microtubules at the spindle poles vary from that observed for control spindles. 
http://purl.obolibrary.org/obo/WBPhenotype_0001987,http://purl.obolibrary.org/obo/IAO_0000115,Any variation in the measured levels of acetylcholinesterase (AChE) activity compared to control animals. 
http://purl.obolibrary.org/obo/WBPhenotype_0000993,http://purl.obolibrary.org/obo/IAO_0000115, Animals fail to contract the anal depressor muscle.
http://purl.obolibrary.org/obo/WBPhenotype_0002058,http://purl.obolibrary.org/obo/IAO_0000115,Animals are not affected to the same degree as control animals under similar conditions of pore forming toxin exposure. 
http://purl.obolibrary.org/obo/WBPhenotype_0000390,http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym,spermiogenesis defective 
http://purl.obolibrary.org/obo/WBPhenotype_0001931,http://purl.obolibrary.org/obo/IAO_0000115,The morphology or number of connections between muscle arms and commissural motor axons varies from control animals. 
